kintamojo_pavadinimas,kintamojo_reikšmių_kodai,kintamojo_reikšmių_aprašymas,kintamojo_aprašymas,objectid
PE4,1 - 7,Dienų skaičius  ,Kiek dienų per įprastą savaitę važiuojate dviračiu užtrukdamas (-a) mažiausiai 10 min. be pertraukos?,505
,0,Tokia fizine veikla neužsiimate ,,506
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,507
PE5,1,10 – 29 min. ,Kiek laiko per dieną paprastai užtrunkate važiuodamas (-a) dviračiu? ,508
,2,30 – 59 min. ,,509
,3,Nuo 1 val. iki 2 val. ,,510
,4,Nuo 2 val. iki 3 val. ,,511
,5,3 val. ar daugiau ,,512
,-2,Netaikoma,,513
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,514
PE6,1 - 7,Dienų skaičius  ,"Kiek dienų per įprastą savaitę sportuojate, užsiimate kūno rengyba ar aktyvia laisvalaikio veikla mažiausiai 10 min. be pertraukos? ",515
,0,Tokia fizine veikla neužsiimate ,,516
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,517
PE7,HHMM,"HH (valandos): 00 - 99, MM (minutės): 00 - 59","Kiek laiko per įprastą savaitę sportuojate, užsiimate kūno rengyba ar aktyvia laisvalaikio veikla?",518
,-2,Netaikoma,,519
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,520
PE8,1 - 7,Dienų skaičius  ,"Kiek dienų per įprastą savaitę atliekate konkrečius veiksmus, skirtus sustiprinti raumenis, pvz., darote ištvermės ar jėgos pratimus? 
",521
,0,Tokia fizine veikla neužsiimate ,,522
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,523
PE9,HHMM,"HH (valandos): 00 - 24, MM (minutės): 00 - 59",Kiek paprastai laiko per dieną sėdite?,524
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,525
,,,,526
,,,Mitybos įpročiai,527
,,,,528
DH1,1,Vieną ar daugiau kartų per dieną  ,"Kaip dažnai valgote vaisius, įskaitant šaldytus, džiovintus, konservuotus? (Išskyrus vaisių sultis (natūralias ar iš koncentrato)",529
,2,4 – 6 kartus per savaitę  ,,530
,3,1 – 3 kartus per savaitę  ,,531
,4,Rečiau nei kartą per savaitę  ,,532
,5,Niekada  ,,533
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,534
DH2,1 - 99,Skaičius,Vaisių porcijų skaičius per dieną (išskyrus vaisių sultis),535
,-2,Netaikoma,,536
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,537
DH3,1,Vieną ar daugiau kartų per dieną  ,"Kaip dažnai valgote daržoves ar salotas (įskaitant šaldytas, džiovintas, konservuotas)? (Išskyrus bulves, daržovių sultis (natūralias ar iš koncentrato), daržovių sriubas)",538
,2,4 – 6 kartus per savaitę  ,,539
,3,1 – 3 kartus per savaitę  ,,540
,4,Rečiau nei kartą per savaitę  ,,541
,5,Niekada  ,,542
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,543
DH4,1 - 99,Skaičius,Daržovių ar salotų porcijų skaičius per dieną ,544
,-2,Netaikoma,,545
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,546
DH5,1,Vieną ar daugiau kartų per dieną  ,"Kaip dažnai geriate natūralias (100 %) vaisių ar daržovių sultis? 
(Išskyrus iš koncentrato pagamintas ar saldintas sultis)",547
,2,4 – 6 kartus per savaitę  ,,548
,3,1 – 3 kartus per savaitę  ,,549
,4,Rečiau nei kartą per savaitę  ,,550
,5,Niekada  ,,551
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,552
DH6,1,Vieną ar daugiau kartų per dieną  ,"Kaip dažnai geriate gaiviuosius gėrimus, pvz., limonadą ar kolą?
(Išskyrus dietinius ar dirbtiniais saldikliais saldintus gėrimus)",553
,2,4 – 6 kartus per savaitę  ,,554
,3,1 – 3 kartus per savaitę  ,,555
,4,Rečiau nei kartą per savaitę  ,,556
,5,Niekada  ,,557
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,558
,,,,559
,,,Rūkymas,560
,,,,561
SK1,1,Rūko kasdien,Tabako rūkymas (esama padėtis),562
,2,Rūko kartais,,563
,3,Nerūko,,564
SK2,1 - 99,Skaičius,Vidutinis cigarečių skaičius per dieną,565
,-2,Netaikoma,,566
SK3,1,Taip,Ankstesnis kasdienis tabako rūkymas,567
,2,Ne,,568
,-2,Netaikoma,,569
SK4,1 - 99,Skaičius,Kiek metų rūkėte tabaką kasdien? ,570
,-2,Netaikoma,,571
SK5,1,"Kasdien, 1 valandą per dieną ar ilgiau",Kaip dažnai tenka būti prirūkytose patalpose?,572
,2,"Kasdien, trumpiau nei 1 val. per dieną",,573
,3,Mažiausiai kartą per savaitę (bet ne kasdien),,574
,4,Rečiau nei kartą per savaitę,,575
,5,Niekada arba beveik niekada,,576
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,577
SK6,1,Kasdien,Elektroninių cigarečių arba panašių elektroninių prietaisų naudojimas,578
,2,Kartais,,579
,3,Anksčiau naudodavo,,580
,4,Niekada nėra naudojęs (-usi),,581
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,582
,,,,583
,,,Alkoholio vartojimas,584
,,,,585
AL1,1,Kasdien arba beveik kasdien  ,"Bet kokių alkoholinių gėrimų (alaus, vyno, sidro, stipriųjų gėrimų, kokteilių, likerių, namų gamybos alkoholinių gėrimų ir pan.) vartojimo dažnumas per pastaruosius 12 mėn.",586
,2,5 – 6 dienas per savaitę  ,,587
,3,3 – 4 dienas per savaitę  ,,588
,4,1 – 2 dienas per savaitę  ,,589
,5,2 – 3 dienas per mėnesį  ,,590
,6,Kartą per mėnesį  ,,591
,7,Rečiau nei kartą per mėnesį  ,,592
,8,"Nevartojote per pastaruosius 12 mėn., nes atsisakėte alkoholio",,593
,9,Niekada arba ragavote tik keletą kartų gyvenime ,,594
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,595
AL2,1,Visas 4 dienas  ,Alkoholinių gėrimų vartojimo dažnumas pirmadieniais–ketvirtadieniais,596
,2,3-is iš 4 dienų  ,,597
,3,2-i iš 4 dienų  ,,598
,4,1-ą iš 4 dienų  ,,599
,5,Nei vieną iš 4 dienų  ,,600
,-2,Netaikoma,,601
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,602
AL3,1,16 arba daugiau standartinių alkoholio vienetų (1 SAV laikoma 10 g gryno etilo alkoholio) per dieną,"Vidutinis standartinių alkoholio vienetų skaičius suvartojamas tą dieną, kai vartojamas alkoholis (pirmadieniais–ketvirtadieniais)",603
,2,10 - 15 SAV per dieną,,604
,3,6 - 9 SAV per dieną,,605
,4,4 - 5 SAV per dieną,,606
,5,3 SAV per dieną,,607
,6,2 SAV per dieną,,608
,7,1 SAV per dieną,,609
,8,0 SAV per dieną,,610
,-2,Netaikoma,,611
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,612
AL4,1,Visas 3 dienas  ,"Alkoholinių gėrimų vartojimo dažnumas penktadieniais–sekmadieniais
",613
,2,2-i iš 3 dienų  ,,614
,3,1-ą iš 3 dienų  ,,615
,4,Nei vieną iš trijų dienų  ,,616
,-2,Netaikoma,,617
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,618
AL5,1,16 arba daugiau standartinių alkoholio vienetų (1 SAV laikoma 10 g gryno etilo alkoholio) per dieną,"Vidutinis standartinių alkoholio vienetų skaičius suvartojamas tą dieną, kai vartojamas alkoholis (penktadieniais–sekmadieniais)",619
,2,10 - 15 SAV per dieną,,620
,3,6 - 9 SAV per dieną,,621
,4,4 - 5 SAV per dieną,,622
,5,3 SAV per dieną,,623
,6,2 SAV per dieną,,624
,7,1 SAV per dieną,,625
,8,0 SAV per dieną,,626
,-2,Netaikoma,,627
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,628
AL6,1,Kasdien ar beveik kasdien  ,"Rizikingo alkoholio vartojimo, kai viena proga išgeriama 1,5 litro ar daugiau alaus arba 6 taures (600 ml) ar daugiau vyno arba 5 taureles (200 ml) ar daugiau degtinės, arba kitų stipriųjų alkoholinių gėrimų, dažnumas per pastaruosius 12 mėn.",629
,2,5 – 6 dienas per savaitę  ,,630
,3,3 – 4 dienas per savaitę  ,,631
,4,1 – 2 dienas per savaitę  ,,632
,5,2 – 3 dienas per mėnesį  ,,633
,6,Kartą per mėnesį  ,,634
,7,Rečiau nei kartą per mėnesį  ,,635
,8,Nei karto per pastaruosius 12 mėn.  ,,636
,9,Niekada ,,637
,-2,Netaikoma,,638
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,639
,,,,640
,,,Socialinė pagalba,641
,,,,642
SS1,1,Nei vieno  ,"Artimų žmonių, kuriais galima pasikliauti kilus rimtai asmeninei problemai, skaičius",643
,2,1 ar 2 asmenis ,,644
,3,3 – 5 asmenis ,,645
,4,6 ir daugiau asmenų ,,646
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,647
SS2,1,Labai  ,"Kiek artimieji (šeimos nariai, draugai ir kt.) domisi tuo, ką veikiate?",648
,2,Šiek tiek  ,,649
,3,Vidutiniškai  ,,650
,4,Mažai  ,,651
,5,Nesidomi  ,,652
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,653
SS3,1,Labai lengva  ,Ar paprasta prireikus gauti praktinės kaimynų pagalbos?,654
,2,Lengva  ,,655
,3,"Nei sunku, nei lengva",,656
,4,Sunku  ,,657
,5,Labai sunku  ,,658
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,659
,,,,660
,,,Neformalios priežiūros ar pagalbos teikimas ,661
,,,,662
IC1,1,Taip,"Priežiūros ar pagalbos teikimas bent kartą per savaitę vienam ar keliems asmenims, turintiems su senatve, lėtiniais sveikatos sutrikimais ar negalia susijusių problemų (išskyrus profesionalią veiklą)",663
,2,Ne,,664
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,665
IC2,1,Šeimos narys (-iai)  ,Ar šis asmuo (asmenys) yra:,666
,2,Ne šeimos narys (-iai)  ,,667
,-2,Netaikoma,,668
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,669
IC3,1,Mažiau nei 10 val. per savaitę  ,Kiek valandų per savaitę prižiūrite ar padedate šiam asmeniui (šiems asmenims)? ,670
,2,Nuo 10 val. iki 20 val. per savaitę  ,,671
,3,20 ar daugiau val. per savaitę  ,,672
,-2,Netaikoma,,673
,-3,Neįtraukiama į skaičiavimus (Proxy = 2 arba 3),,674
